Name,Latitude,Longitude,Zipcode
12th St. Oakland City Center,37.803768,-122.27145,94612
16th St. Mission,37.765062,-122.419694,94110
19th St. Oakland,37.80835,-122.268602,94612
24th St. Mission,37.75247,-122.418143,94110
Ashby,37.852803,-122.270062,94703
Balboa Park,37.721585,-122.447506,94112
Bay Fair,37.696924,-122.126514,94578
Castro Valley,37.690746,-122.075602,94546
Civic Center/UN Plaza,37.779732,-122.414123,94102
Coliseum,37.753661,-122.196869,94621
Colma,37.684638,-122.466233,94014
Concord,37.973737,-122.029095,94520
Daly City,37.70612055,-122.4690807,94014
Downtown Berkeley,37.870104,-122.268133,94704
Dublin/Pleasanton,37.701687,-121.899179,94588
El Cerrito del Norte,37.925086,-122.316794,94530
El Cerrito Plaza,37.902632,-122.298904,94530
Embarcadero,37.792874,-122.39702,94111
Fremont,37.557465,-121.976608,94536
Fruitvale,37.774836,-122.224175,94601
Glen Park,37.733064,-122.433817,94131
Hayward,37.669723,-122.087018,94541
Lafayette,37.893176,-122.12463,94549
Lake Merritt,37.797027,-122.26518,94607
MacArthur,37.829065,-122.26704,94609
Millbrae,37.600271,-122.386702,94030
Montgomery St.,37.789405,-122.401066,94104
North Berkeley,37.873967,-122.28344,94702
North Concord/Martinez,38.003193,-122.024653,94520
Oakland Int'l Airport,37.713238,-122.212191,94621
Orinda,37.87836087,-122.1837911,94563
Pittsburg/Bay Point,38.018914,-121.945154,94565
Pleasant Hill/Contra Costa Centre,37.928468,-122.056012,94597
Powell St.,37.784471,-122.407974,94102
Richmond,37.936853,-122.353099,94801
Rockridge,37.844702,-122.251371,94618
San Bruno,37.637761,-122.416287,94066
San Francisco Int'l Airport,37.615966,-122.392409,94128
San Leandro,37.721947,-122.160844,94577
South Hayward,37.634375,-122.057189,94544
South San Francisco,37.664245,-122.44396,94080
Union City,37.59063,-122.017388,94587
Walnut Creek,37.905522,-122.067527,94596
West Dublin/Pleasanton,37.699756,-121.92824,94568
West Oakland,37.804872,-122.29514,94607
Warm Springs / South Fremont,37.502171,-121.939313,94539